Event,Medal,Team_Organization,Player,Country,Role
Apex Legends,Gold,VK Gaming,Kasssa,Brazil,Player
Apex Legends,Gold,VK Gaming,QQ,China,Player
Apex Legends,Gold,VK Gaming,LqDuD,China,Player
Apex Legends,Silver,ROC Esports,Vaxlon,Philippines,Player
Apex Legends,Silver,ROC Esports,Deeds,Australia,Player
Apex Legends,Silver,ROC Esports,Sauceror,USA,Player
Apex Legends,Bronze,Ninjas in Pyjamas,Vein,USA,Player
Apex Legends,Bronze,Ninjas in Pyjamas,Kurev,Russia,Player
Apex Legends,Bronze,Ninjas in Pyjamas,McLovin,USA,Player
Call of Duty: Black Ops 6,Gold,OpTic Gaming,Dashy,USA,Player
Call of Duty: Black Ops 6,Gold,OpTic Gaming,Huke,USA,Player
Call of Duty: Black Ops 6,Gold,OpTic Gaming,Mercules,USA,Player
Call of Duty: Black Ops 6,Gold,OpTic Gaming,Shotzzy,USA,Player
Call of Duty: Black Ops 6,Silver,Vancouver Surge,04,Canada,Player
Call of Duty: Black Ops 6,Silver,Vancouver Surge,Abuzah,Morocco,Player
Call of Duty: Black Ops 6,Silver,Vancouver Surge,Neptune,USA,Player
Call of Duty: Black Ops 6,Silver,Vancouver Surge,Nastie,UK,Player
Call of Duty: Black Ops 6,Bronze,Movistar KOI,Abe,Spain,Player
Call of Duty: Black Ops 6,Bronze,Movistar KOI,CleanX,Denmark,Player
Call of Duty: Black Ops 6,Bronze,Movistar KOI,Insight,UK,Player
Call of Duty: Black Ops 6,Bronze,Movistar KOI,JoeDeceives,USA,Player
Call of Duty: Warzone,Gold,Twisted Minds,zSmit,USA,Player
Call of Duty: Warzone,Gold,Twisted Minds,Almond,USA,Player
Call of Duty: Warzone,Gold,Twisted Minds,Aydan,USA,Player
Call of Duty: Warzone,Silver,Gentle Mates,Enkeo,France,Player
Call of Duty: Warzone,Silver,Gentle Mates,Gromalok,France,Player
Call of Duty: Warzone,Silver,Gentle Mates,HalloW,France,Player
Call of Duty: Warzone,Bronze,Virtus.pro,Dongy,South Korea,Player
Call of Duty: Warzone,Bronze,Virtus.pro,Newbz,USA,Player
Call of Duty: Warzone,Bronze,Virtus.pro,Sage,USA,Player
Chess,Gold,Team Liquid,Magnus Carlsen,Norway,Player
Chess,Silver,Team Falcons,Alireza Firouzja,France,Player
Chess,Bronze,Team Falcons,Hikaru Nakamura,USA,Player
CrossFire,Gold,AG.AL,ZY,China,Player
CrossFire,Gold,AG.AL,Jwei,China,Player
CrossFire,Gold,AG.AL,Doo,China,Player
CrossFire,Gold,AG.AL,1222,China,Player
CrossFire,Gold,AG.AL,ZQ,China,Player
CrossFire,Silver,BaiSha Gaming,Xxiao,China,Player
CrossFire,Silver,BaiSha Gaming,N9,China,Player
CrossFire,Silver,BaiSha Gaming,577,China,Player
CrossFire,Silver,BaiSha Gaming,Lye,China,Player
CrossFire,Silver,BaiSha Gaming,YDSS,China,Player
